Menu Item ID,Menu Category,Menu Sub-Category,Menu Item Name,Ingredient Type,Ingredient ID,Ingredient Name,Quantity,Unit
317,Beverages,Milk,Hot Chocolate Milk,Inventory,127,Salt - Table Salt,0.005,KG
317,Beverages,Milk,Hot Chocolate Milk,Inventory,89,Oil Refined Sunflower,0.02,LTR
318,Beverages,Milk,Hot Milk With Horlicks / Boost,Fresh,N/A,Main Ingredient (Generic),0.2,KG
318,Beverages,Milk,Hot Milk With Horlicks / Boost,Inventory,127,Salt - Table Salt,0.005,KG
318,Beverages,Milk,Hot Milk With Horlicks / Boost,Inventory,89,Oil Refined Sunflower,0.02,LTR
319,Beverages,Milk Shakes,Chico Milk Shake,Fresh,N/A,Main Ingredient (Generic),0.2,KG
319,Beverages,Milk Shakes,Chico Milk Shake,Inventory,127,Salt - Table Salt,0.005,KG
319,Beverages,Milk Shakes,Chico Milk Shake,Inventory,89,Oil Refined Sunflower,0.02,LTR
320,Beverages,Milk Shakes,Fruit Punch,Fresh,N/A,Main Ingredient (Generic),0.2,KG
320,Beverages,Milk Shakes,Fruit Punch,Inventory,127,Salt - Table Salt,0.005,KG
320,Beverages,Milk Shakes,Fruit Punch,Inventory,89,Oil Refined Sunflower,0.02,LTR
321,Beverages,Milk Shakes,Grapes Pulpy Kulfi,Fresh,N/A,Main Ingredient (Generic),0.2,KG
321,Beverages,Milk Shakes,Grapes Pulpy Kulfi,Inventory,127,Salt - Table Salt,0.005,KG
321,Beverages,Milk Shakes,Grapes Pulpy Kulfi,Inventory,89,Oil Refined Sunflower,0.02,LTR
322,Beverages,Milk Shakes,Irish Milk Shake,Fresh,N/A,Main Ingredient (Generic),0.2,KG
322,Beverages,Milk Shakes,Irish Milk Shake,Inventory,127,Salt - Table Salt,0.005,KG
322,Beverages,Milk Shakes,Irish Milk Shake,Inventory,89,Oil Refined Sunflower,0.02,LTR
323,Beverages,Milk Shakes,Litchi Punch,Fresh,N/A,Main Ingredient (Generic),0.2,KG
323,Beverages,Milk Shakes,Litchi Punch,Inventory,127,Salt - Table Salt,0.005,KG
323,Beverages,Milk Shakes,Litchi Punch,Inventory,89,Oil Refined Sunflower,0.02,LTR
324,Beverages,Milk Shakes,Lovely Lassi,Fresh,N/A,Main Ingredient (Generic),0.2,KG
324,Beverages,Milk Shakes,Lovely Lassi,Inventory,127,Salt - Table Salt,0.005,KG
324,Beverages,Milk Shakes,Lovely Lassi,Inventory,89,Oil Refined Sunflower,0.02,LTR
325,Beverages,Milk Shakes,Mango Masthi,Fresh,N/A,Main Ingredient (Generic),0.2,KG
325,Beverages,Milk Shakes,Mango Masthi,Inventory,127,Salt - Table Salt,0.005,KG
325,Beverages,Milk Shakes,Mango Masthi,Inventory,89,Oil Refined Sunflower,0.02,LTR
326,Beverages,Milk Shakes,Mango Masti,Fresh,N/A,Main Ingredient (Generic),0.2,KG
326,Beverages,Milk Shakes,Mango Masti,Inventory,127,Salt - Table Salt,0.005,KG
326,Beverages,Milk Shakes,Mango Masti,Inventory,89,Oil Refined Sunflower,0.02,LTR
327,Beverages,Milk Shakes,Musk Melon,Fresh,N/A,Main Ingredient (Generic),0.2,KG
327,Beverages,Milk Shakes,Musk Melon,Inventory,127,Salt - Table Salt,0.005,KG
327,Beverages,Milk Shakes,Musk Melon,Inventory,89,Oil Refined Sunflower,0.02,LTR
328,Beverages,Milk Shakes,Orange Punch,Fresh,N/A,Main Ingredient (Generic),0.2,KG
328,Beverages,Milk Shakes,Orange Punch,Inventory,127,Salt - Table Salt,0.005,KG
328,Beverages,Milk Shakes,Orange Punch,Inventory,89,Oil Refined Sunflower,0.02,LTR
329,Beverages,Milk Shakes,Peach Apricot Delight,Fresh,N/A,Main Ingredient (Generic),0.2,KG
329,Beverages,Milk Shakes,Peach Apricot Delight,Inventory,127,Salt - Table Salt,0.005,KG
329,Beverages,Milk Shakes,Peach Apricot Delight,Inventory,89,Oil Refined Sunflower,0.02,LTR
330,Beverages,Milk Shakes,Sharjah,Fresh,N/A,Main Ingredient (Generic),0.2,KG
330,Beverages,Milk Shakes,Sharjah,Inventory,127,Salt - Table Salt,0.005,KG
330,Beverages,Milk Shakes,Sharjah,Inventory,89,Oil Refined Sunflower,0.02,LTR
331,Beverages,Milk Shakes,Strawberry Punch,Fresh,N/A,Main Ingredient (Generic),0.2,KG
331,Beverages,Milk Shakes,Strawberry Punch,Inventory,127,Salt - Table Salt,0.005,KG
331,Beverages,Milk Shakes,Strawberry Punch,Inventory,89,Oil Refined Sunflower,0.02,LTR
332,Beverages,Milk Shakes,Thatimunjala Milk Shake,Fresh,N/A,Main Ingredient (Generic),0.2,KG
332,Beverages,Milk Shakes,Thatimunjala Milk Shake,Inventory,127,Salt - Table Salt,0.005,KG
332,Beverages,Milk Shakes,Thatimunjala Milk Shake,Inventory,89,Oil Refined Sunflower,0.02,LTR
333,Beverages,Mineral Water,Bisleri (200 Ml),Fresh,N/A,Main Ingredient (Generic),0.2,KG
333,Beverages,Mineral Water,Bisleri (200 Ml),Inventory,127,Salt - Table Salt,0.005,KG
333,Beverages,Mineral Water,Bisleri (200 Ml),Inventory,89,Oil Refined Sunflower,0.02,LTR
334,Beverages,Mineral Water,Bisleri In 200 Ml Bottle,Fresh,N/A,Main Ingredient (Generic),0.2,KG
334,Beverages,Mineral Water,Bisleri In 200 Ml Bottle,Inventory,127,Salt - Table Salt,0.005,KG
334,Beverages,Mineral Water,Bisleri In 200 Ml Bottle,Inventory,89,Oil Refined Sunflower,0.02,LTR
335,Beverages,Mineral Water,Kinley (500 Ml),Fresh,N/A,Main Ingredient (Generic),0.2,KG
335,Beverages,Mineral Water,Kinley (500 Ml),Inventory,127,Salt - Table Salt,0.005,KG
335,Beverages,Mineral Water,Kinley (500 Ml),Inventory,89,Oil Refined Sunflower,0.02,LTR
336,Beverages,Mineral Water,Kinley In 500 Ml Bottle,Fresh,N/A,Main Ingredient (Generic),0.2,KG
336,Beverages,Mineral Water,Kinley In 500 Ml Bottle,Inventory,127,Salt - Table Salt,0.005,KG
336,Beverages,Mineral Water,Kinley In 500 Ml Bottle,Inventory,89,Oil Refined Sunflower,0.02,LTR
337,Beverages,Mineral Water,Oxyrich (200 Ml),Fresh,N/A,Main Ingredient (Generic),0.2,KG
337,Beverages,Mineral Water,Oxyrich (200 Ml),Inventory,127,Salt - Table Salt,0.005,KG
337,Beverages,Mineral Water,Oxyrich (200 Ml),Inventory,89,Oil Refined Sunflower,0.02,LTR
338,Beverages,Mineral Water,Oxyrich In 200 Ml Bottle,Fresh,N/A,Main Ingredient (Generic),0.2,KG
338,Beverages,Mineral Water,Oxyrich In 200 Ml Bottle,Inventory,127,Salt - Table Salt,0.005,KG
338,Beverages,Mineral Water,Oxyrich In 200 Ml Bottle,Inventory,89,Oil Refined Sunflower,0.02,LTR
339,Beverages,Mineral Water,Royal Challenge In 200 Ml Bottle,Fresh,N/A,Main Ingredient (Generic),0.2,KG
339,Beverages,Mineral Water,Royal Challenge In 200 Ml Bottle,Inventory,127,Salt - Table Salt,0.005,KG
339,Beverages,Mineral Water,Royal Challenge In 200 Ml Bottle,Inventory,89,Oil Refined Sunflower,0.02,LTR
340,Beverages,Mocktails,Blue Angel,Fresh,N/A,Main Ingredient (Generic),0.2,KG
340,Beverages,Mocktails,Blue Angel,Inventory,127,Salt - Table Salt,0.005,KG
340,Beverages,Mocktails,Blue Angel,Inventory,89,Oil Refined Sunflower,0.02,LTR
341,Beverages,Mocktails,Mexican Sunset,Fresh,N/A,Main Ingredient (Generic),0.2,KG
341,Beverages,Mocktails,Mexican Sunset,Inventory,127,Salt - Table Salt,0.005,KG
341,Beverages,Mocktails,Mexican Sunset,Inventory,89,Oil Refined Sunflower,0.02,LTR
342,Beverages,Mocktails,Mint Chocolate,Fresh,N/A,Main Ingredient (Generic),0.2,KG
342,Beverages,Mocktails,Mint Chocolate,Inventory,127,Salt - Table Salt,0.005,KG
342,Beverages,Mocktails,Mint Chocolate,Inventory,89,Oil Refined Sunflower,0.02,LTR
343,Beverages,Mocktails,Orange Surprise,Fresh,N/A,Main Ingredient (Generic),0.2,KG
343,Beverages,Mocktails,Orange Surprise,Inventory,127,Salt - Table Salt,0.005,KG
343,Beverages,Mocktails,Orange Surprise,Inventory,89,Oil Refined Sunflower,0.02,LTR
344,Beverages,Mocktails,Shirley Temple,Fresh,N/A,Main Ingredient (Generic),0.2,KG
344,Beverages,Mocktails,Shirley Temple,Inventory,127,Salt - Table Salt,0.005,KG
344,Beverages,Mocktails,Shirley Temple,Inventory,89,Oil Refined Sunflower,0.02,LTR
345,Beverages,Mocktails,Strawberry Lemonade,Fresh,N/A,Main Ingredient (Generic),0.2,KG
345,Beverages,Mocktails,Strawberry Lemonade,Inventory,127,Salt - Table Salt,0.005,KG
345,Beverages,Mocktails,Strawberry Lemonade,Inventory,89,Oil Refined Sunflower,0.02,LTR
346,Beverages,Mocktails,Violet Fizz,Fresh,N/A,Main Ingredient (Generic),0.2,KG
346,Beverages,Mocktails,Violet Fizz,Inventory,127,Salt - Table Salt,0.005,KG
346,Beverages,Mocktails,Violet Fizz,Inventory,89,Oil Refined Sunflower,0.02,LTR
347,Beverages,Mocktails,Virgin Green Apple Martini,Fresh,N/A,Main Ingredient (Generic),0.2,KG
347,Beverages,Mocktails,Virgin Green Apple Martini,Inventory,127,Salt - Table Salt,0.005,KG
347,Beverages,Mocktails,Virgin Green Apple Martini,Inventory,89,Oil Refined Sunflower,0.02,LTR
348,Beverages,Mocktails,Virgin Mojito,Fresh,N/A,Main Ingredient (Generic),0.2,KG
348,Beverages,Mocktails,Virgin Mojito,Inventory,127,Salt - Table Salt,0.005,KG
348,Beverages,Mocktails,Virgin Mojito,Inventory,89,Oil Refined Sunflower,0.02,LTR
349,Beverages,Mocktails,Virgin Pink Lady,Fresh,N/A,Main Ingredient (Generic),0.2,KG
349,Beverages,Mocktails,Virgin Pink Lady,Inventory,127,Salt - Table Salt,0.005,KG
349,Beverages,Mocktails,Virgin Pink Lady,Inventory,89,Oil Refined Sunflower,0.02,LTR
350,Beverages,Real Juices,Apple,Fresh,N/A,Fruit,0.2,KG
350,Beverages,Real Juices,Apple,Inventory,166,Sugar - Acasia,0.05,KG
351,Beverages,Real Juices,Cranberry,Fresh,N/A,Fruit,0.2,KG
351,Beverages,Real Juices,Cranberry,Inventory,166,Sugar - Acasia,0.05,KG
352,Beverages,Real Juices,Grape,Fresh,N/A,Fruit,0.2,KG
352,Beverages,Real Juices,Grape,Inventory,166,Sugar - Acasia,0.05,KG
353,Beverages,Real Juices,Guava,Fresh,N/A,Fruit,0.2,KG
353,Beverages,Real Juices,Guava,Inventory,166,Sugar - Acasia,0.05,KG
354,Beverages,Real Juices,Lychee,Fresh,N/A,Fruit,0.2,KG
354,Beverages,Real Juices,Lychee,Inventory,166,Sugar - Acasia,0.05,KG
355,Beverages,Real Juices,Mango,Fresh,N/A,Fruit,0.2,KG
355,Beverages,Real Juices,Mango,Inventory,166,Sugar - Acasia,0.05,KG
356,Beverages,Real Juices,Mix Fruit,Fresh,N/A,Fruit,0.2,KG
356,Beverages,Real Juices,Mix Fruit,Inventory,166,Sugar - Acasia,0.05,KG
357,Beverages,Real Juices,Mix Veg,Fresh,N/A,Fruit,0.2,KG
357,Beverages,Real Juices,Mix Veg,Inventory,166,Sugar - Acasia,0.05,KG
358,Beverages,Real Juices,Mix Veg.,Fresh,N/A,Fruit,0.2,KG
358,Beverages,Real Juices,Mix Veg.,Inventory,166,Sugar - Acasia,0.05,KG
359,Beverages,Real Juices,Orange,Fresh,N/A,Fruit,0.2,KG
359,Beverages,Real Juices,Orange,Inventory,166,Sugar - Acasia,0.05,KG
360,Beverages,Real Juices,Peach,Fresh,N/A,Fruit,0.2,KG
360,Beverages,Real Juices,Peach,Inventory,166,Sugar - Acasia,0.05,KG
361,Beverages,Real Juices,Pineapple,Fresh,N/A,Fruit,0.2,KG
361,Beverages,Real Juices,Pineapple,Inventory,166,Sugar - Acasia,0.05,KG
362,Beverages,Real Juices,Pomegranate,Fresh,N/A,Fruit,0.2,KG
362,Beverages,Real Juices,Pomegranate,Inventory,166,Sugar - Acasia,0.05,KG
363,Beverages,Real Juices,Tomato,Fresh,N/A,Fruit,0.2,KG
363,Beverages,Real Juices,Tomato,Inventory,166,Sugar - Acasia,0.05,KG
364,Beverages,Sampradaya,Sukandi,Fresh,N/A,Main Ingredient (Generic),0.2,KG
364,Beverages,Sampradaya,Sukandi,Inventory,127,Salt - Table Salt,0.005,KG
364,Beverages,Sampradaya,Sukandi,Inventory,89,Oil Refined Sunflower,0.02,LTR
365,Beverages,Sampradaya (Traditional),Aam Ka Panna,Fresh,N/A,Main Ingredient (Generic),0.2,KG
365,Beverages,Sampradaya (Traditional),Aam Ka Panna,Inventory,127,Salt - Table Salt,0.005,KG
365,Beverages,Sampradaya (Traditional),Aam Ka Panna,Inventory,89,Oil Refined Sunflower,0.02,LTR
366,Beverages,Sampradaya (Traditional),Fresh Lime Soda,Fresh,N/A,Main Ingredient (Generic),0.2,KG
366,Beverages,Sampradaya (Traditional),Fresh Lime Soda,Inventory,127,Salt - Table Salt,0.005,KG
366,Beverages,Sampradaya (Traditional),Fresh Lime Soda,Inventory,89,Oil Refined Sunflower,0.02,LTR
367,Beverages,Sampradaya (Traditional),Jaljeera,Fresh,N/A,Main Ingredient (Generic),0.2,KG
367,Beverages,Sampradaya (Traditional),Jaljeera,Inventory,127,Salt - Table Salt,0.005,KG
367,Beverages,Sampradaya (Traditional),Jaljeera,Inventory,89,Oil Refined Sunflower,0.02,LTR
368,Beverages,Sampradaya (Traditional),Panakam,Fresh,N/A,Main Ingredient (Generic),0.2,KG
368,Beverages,Sampradaya (Traditional),Panakam,Inventory,127,Salt - Table Salt,0.005,KG
368,Beverages,Sampradaya (Traditional),Panakam,Inventory,89,Oil Refined Sunflower,0.02,LTR
369,Beverages,Sampradaya (Traditional),Sukandi Soda,Fresh,N/A,Main Ingredient (Generic),0.2,KG
369,Beverages,Sampradaya (Traditional),Sukandi Soda,Inventory,127,Salt - Table Salt,0.005,KG
369,Beverages,Sampradaya (Traditional),Sukandi Soda,Inventory,89,Oil Refined Sunflower,0.02,LTR
370,Beverages,Smoothies,Banana Smoothie,Fresh,N/A,Main Ingredient (Generic),0.2,KG
370,Beverages,Smoothies,Banana Smoothie,Inventory,127,Salt - Table Salt,0.005,KG
370,Beverages,Smoothies,Banana Smoothie,Inventory,89,Oil Refined Sunflower,0.02,LTR
371,Beverages,Smoothies,Chocolate Yogurt Smoothie,Fresh,N/A,Main Ingredient (Generic),0.2,KG
371,Beverages,Smoothies,Chocolate Yogurt Smoothie,Inventory,127,Salt - Table Salt,0.005,KG
371,Beverages,Smoothies,Chocolate Yogurt Smoothie,Inventory,89,Oil Refined Sunflower,0.02,LTR
372,Beverages,Smoothies,Fruit Smoothie,Fresh,N/A,Main Ingredient (Generic),0.2,KG
372,Beverages,Smoothies,Fruit Smoothie,Inventory,127,Salt - Table Salt,0.005,KG
372,Beverages,Smoothies,Fruit Smoothie,Inventory,89,Oil Refined Sunflower,0.02,LTR
373,Beverages,Smoothies,Green Ginger-Peach Smoothie,Fresh,N/A,Main Ingredient (Generic),0.2,KG
373,Beverages,Smoothies,Green Ginger-Peach Smoothie,Inventory,127,Salt - Table Salt,0.005,KG
373,Beverages,Smoothies,Green Ginger-Peach Smoothie,Inventory,89,Oil Refined Sunflower,0.02,LTR
374,Beverages,Smoothies,Mango And Yogurt Smoothie,Fresh,N/A,Main Ingredient (Generic),0.2,KG
374,Beverages,Smoothies,Mango And Yogurt Smoothie,Inventory,127,Salt - Table Salt,0.005,KG
374,Beverages,Smoothies,Mango And Yogurt Smoothie,Inventory,89,Oil Refined Sunflower,0.02,LTR
375,Beverages,Smoothies,Musk Melon Smoothie,Fresh,N/A,Main Ingredient (Generic),0.2,KG
375,Beverages,Smoothies,Musk Melon Smoothie,Inventory,127,Salt - Table Salt,0.005,KG
375,Beverages,Smoothies,Musk Melon Smoothie,Inventory,89,Oil Refined Sunflower,0.02,LTR
376,Beverages,Smoothies,Oatmeal Smoothies,Fresh,N/A,Main Ingredient (Generic),0.2,KG
376,Beverages,Smoothies,Oatmeal Smoothies,Inventory,127,Salt - Table Salt,0.005,KG
376,Beverages,Smoothies,Oatmeal Smoothies,Inventory,89,Oil Refined Sunflower,0.02,LTR
377,Beverages,Smoothies,"Strawberry, Mango, Yogurt Smoothie",Fresh,N/A,Main Ingredient (Generic),0.2,KG
377,Beverages,Smoothies,"Strawberry, Mango, Yogurt Smoothie",Inventory,127,Salt - Table Salt,0.005,KG
377,Beverages,Smoothies,"Strawberry, Mango, Yogurt Smoothie",Inventory,89,Oil Refined Sunflower,0.02,LTR
378,Beverages,Smoothies,Tropical Blueberry Smoothie,Fresh,N/A,Main Ingredient (Generic),0.2,KG
378,Beverages,Smoothies,Tropical Blueberry Smoothie,Inventory,127,Salt - Table Salt,0.005,KG
378,Beverages,Smoothies,Tropical Blueberry Smoothie,Inventory,89,Oil Refined Sunflower,0.02,LTR
379,Beverages,Smoothies,Winter Smoothie,Fresh,N/A,Main Ingredient (Generic),0.2,KG
379,Beverages,Smoothies,Winter Smoothie,Inventory,127,Salt - Table Salt,0.005,KG
379,Beverages,Smoothies,Winter Smoothie,Inventory,89,Oil Refined Sunflower,0.02,LTR
380,Beverages,Sparkling Juices,Peach & Mango,Fresh,N/A,Fruit,0.2,KG
380,Beverages,Sparkling Juices,Peach & Mango,Inventory,166,Sugar - Acasia,0.05,KG
381,Beverages,Sparkling Juices,Raspberry,Fresh,N/A,Fruit,0.2,KG
381,Beverages,Sparkling Juices,Raspberry,Inventory,166,Sugar - Acasia,0.05,KG
382,Beverages,Sparkling Juices,Red Grapes,Fresh,N/A,Fruit,0.2,KG
382,Beverages,Sparkling Juices,Red Grapes,Inventory,166,Sugar - Acasia,0.05,KG
383,Beverages,Sparkling Juices,White Grapes,Fresh,N/A,Fruit,0.2,KG
383,Beverages,Sparkling Juices,White Grapes,Inventory,166,Sugar - Acasia,0.05,KG
384,Beverages,Tea,Andhra Tea,Fresh,N/A,Main Ingredient (Generic),0.2,KG
384,Beverages,Tea,Andhra Tea,Inventory,127,Salt - Table Salt,0.005,KG
384,Beverages,Tea,Andhra Tea,Inventory,89,Oil Refined Sunflower,0.02,LTR
385,Beverages,Tea,Arabian Sulemani,Fresh,N/A,Main Ingredient (Generic),0.2,KG
385,Beverages,Tea,Arabian Sulemani,Inventory,127,Salt - Table Salt,0.005,KG
385,Beverages,Tea,Arabian Sulemani,Inventory,89,Oil Refined Sunflower,0.02,LTR
386,Beverages,Tea,Green Tea,Fresh,N/A,Main Ingredient (Generic),0.2,KG
386,Beverages,Tea,Green Tea,Inventory,127,Salt - Table Salt,0.005,KG
386,Beverages,Tea,Green Tea,Inventory,89,Oil Refined Sunflower,0.02,LTR
387,Beverages,Tea,Irani Tea,Fresh,N/A,Main Ingredient (Generic),0.2,KG
387,Beverages,Tea,Irani Tea,Inventory,127,Salt - Table Salt,0.005,KG
387,Beverages,Tea,Irani Tea,Inventory,89,Oil Refined Sunflower,0.02,LTR
388,Beverages,Tea,Kashmiri Kahwa,Fresh,N/A,Main Ingredient (Generic),0.2,KG
388,Beverages,Tea,Kashmiri Kahwa,Inventory,127,Salt - Table Salt,0.005,KG
388,Beverages,Tea,Kashmiri Kahwa,Inventory,89,Oil Refined Sunflower,0.02,LTR
389,Beverages,Tea,Lemon Ice Tea,Fresh,N/A,Main Ingredient (Generic),0.2,KG
389,Beverages,Tea,Lemon Ice Tea,Inventory,127,Salt - Table Salt,0.005,KG
389,Beverages,Tea,Lemon Ice Tea,Inventory,89,Oil Refined Sunflower,0.02,LTR
390,Beverages,Tea,Mint Ice Tea,Fresh,N/A,Main Ingredient (Generic),0.2,KG
390,Beverages,Tea,Mint Ice Tea,Inventory,127,Salt - Table Salt,0.005,KG
390,Beverages,Tea,Mint Ice Tea,Inventory,89,Oil Refined Sunflower,0.02,LTR
391,Beverages,Tea,Puskar Masala Chai,Fresh,N/A,Main Ingredient (Generic),0.2,KG
391,Beverages,Tea,Puskar Masala Chai,Inventory,127,Salt - Table Salt,0.005,KG
391,Beverages,Tea,Puskar Masala Chai,Inventory,89,Oil Refined Sunflower,0.02,LTR
392,Category,Sub-Category,Item Name,Fresh,N/A,Main Ingredient (Generic),0.2,KG
392,Category,Sub-Category,Item Name,Inventory,127,Salt - Table Salt,0.005,KG
392,Category,Sub-Category,Item Name,Inventory,89,Oil Refined Sunflower,0.02,LTR
393,Dessert,Bengali Sweets,Anar Cake,Inventory,166,Sugar - Acasia,0.15,KG
393,Dessert,Bengali Sweets,Anar Cake,Inventory,61,Ghee Desi,0.05,KG
393,Dessert,Bengali Sweets,Anar Cake,Inventory,149,Spices Black Cardamom,0.001,KG
393,Dessert,Bengali Sweets,Anar Cake,Inventory,13,Badam Milk Powder,0.2,LTR
394,Dessert,Bengali Sweets,Badam Pista Bogh,Inventory,166,Sugar - Acasia,0.15,KG
394,Dessert,Bengali Sweets,Badam Pista Bogh,Inventory,61,Ghee Desi,0.05,KG
394,Dessert,Bengali Sweets,Badam Pista Bogh,Inventory,149,Spices Black Cardamom,0.001,KG
394,Dessert,Bengali Sweets,Badam Pista Bogh,Inventory,13,Badam Milk Powder,0.2,LTR
395,Dessert,Bengali Sweets,Basundi,Inventory,166,Sugar - Acasia,0.15,KG
395,Dessert,Bengali Sweets,Basundi,Inventory,61,Ghee Desi,0.05,KG
395,Dessert,Bengali Sweets,Basundi,Inventory,149,Spices Black Cardamom,0.001,KG
395,Dessert,Bengali Sweets,Basundi,Inventory,13,Badam Milk Powder,0.2,LTR
396,Dessert,Bengali Sweets,Cream Gula,Inventory,166,Sugar - Acasia,0.15,KG
396,Dessert,Bengali Sweets,Cream Gula,Inventory,61,Ghee Desi,0.05,KG
396,Dessert,Bengali Sweets,Cream Gula,Inventory,149,Spices Black Cardamom,0.001,KG
396,Dessert,Bengali Sweets,Cream Gula,Inventory,13,Badam Milk Powder,0.2,LTR
397,Dessert,Bengali Sweets,Cream Of Chum Chum,Inventory,166,Sugar - Acasia,0.15,KG
397,Dessert,Bengali Sweets,Cream Of Chum Chum,Inventory,61,Ghee Desi,0.05,KG
397,Dessert,Bengali Sweets,Cream Of Chum Chum,Inventory,149,Spices Black Cardamom,0.001,KG
397,Dessert,Bengali Sweets,Cream Of Chum Chum,Inventory,13,Badam Milk Powder,0.2,LTR
398,Dessert,Bengali Sweets,Cream Of Strawberry,Inventory,166,Sugar - Acasia,0.15,KG
398,Dessert,Bengali Sweets,Cream Of Strawberry,Inventory,61,Ghee Desi,0.05,KG
398,Dessert,Bengali Sweets,Cream Of Strawberry,Inventory,149,Spices Black Cardamom,0.001,KG
398,Dessert,Bengali Sweets,Cream Of Strawberry,Inventory,13,Badam Milk Powder,0.2,LTR
399,Dessert,Bengali Sweets,Dry Chum Chum,Inventory,166,Sugar - Acasia,0.15,KG
399,Dessert,Bengali Sweets,Dry Chum Chum,Inventory,61,Ghee Desi,0.05,KG
399,Dessert,Bengali Sweets,Dry Chum Chum,Inventory,149,Spices Black Cardamom,0.001,KG
399,Dessert,Bengali Sweets,Dry Chum Chum,Inventory,13,Badam Milk Powder,0.2,LTR
400,Dessert,Bengali Sweets,Indra Poori,Inventory,166,Sugar - Acasia,0.15,KG
400,Dessert,Bengali Sweets,Indra Poori,Inventory,61,Ghee Desi,0.05,KG
400,Dessert,Bengali Sweets,Indra Poori,Inventory,149,Spices Black Cardamom,0.001,KG
400,Dessert,Bengali Sweets,Indra Poori,Inventory,13,Badam Milk Powder,0.2,LTR
401,Dessert,Bengali Sweets,Litchi Wine,Inventory,166,Sugar - Acasia,0.15,KG
401,Dessert,Bengali Sweets,Litchi Wine,Inventory,61,Ghee Desi,0.05,KG
401,Dessert,Bengali Sweets,Litchi Wine,Inventory,149,Spices Black Cardamom,0.001,KG
401,Dessert,Bengali Sweets,Litchi Wine,Inventory,13,Badam Milk Powder,0.2,LTR
402,Dessert,Bengali Sweets,Malai Tikka,Inventory,166,Sugar - Acasia,0.15,KG
402,Dessert,Bengali Sweets,Malai Tikka,Inventory,61,Ghee Desi,0.05,KG
402,Dessert,Bengali Sweets,Malai Tikka,Inventory,149,Spices Black Cardamom,0.001,KG
402,Dessert,Bengali Sweets,Malai Tikka,Inventory,13,Badam Milk Powder,0.2,LTR
403,Dessert,Bengali Sweets,Mango Peta,Inventory,166,Sugar - Acasia,0.15,KG
403,Dessert,Bengali Sweets,Mango Peta,Inventory,61,Ghee Desi,0.05,KG
403,Dessert,Bengali Sweets,Mango Peta,Inventory,149,Spices Black Cardamom,0.001,KG
403,Dessert,Bengali Sweets,Mango Peta,Inventory,13,Badam Milk Powder,0.2,LTR
404,Dessert,Bengali Sweets,Nava Rang Pan,Inventory,166,Sugar - Acasia,0.15,KG
404,Dessert,Bengali Sweets,Nava Rang Pan,Inventory,61,Ghee Desi,0.05,KG
404,Dessert,Bengali Sweets,Nava Rang Pan,Inventory,149,Spices Black Cardamom,0.001,KG
404,Dessert,Bengali Sweets,Nava Rang Pan,Inventory,13,Badam Milk Powder,0.2,LTR
405,Dessert,Bengali Sweets,Pippa,Inventory,166,Sugar - Acasia,0.15,KG
405,Dessert,Bengali Sweets,Pippa,Inventory,61,Ghee Desi,0.05,KG
405,Dessert,Bengali Sweets,Pippa,Inventory,149,Spices Black Cardamom,0.001,KG
405,Dessert,Bengali Sweets,Pippa,Inventory,13,Badam Milk Powder,0.2,LTR
406,Dessert,Bengali Sweets,Pista Bogh,Inventory,166,Sugar - Acasia,0.15,KG
406,Dessert,Bengali Sweets,Pista Bogh,Inventory,61,Ghee Desi,0.05,KG
406,Dessert,Bengali Sweets,Pista Bogh,Inventory,149,Spices Black Cardamom,0.001,KG
406,Dessert,Bengali Sweets,Pista Bogh,Inventory,13,Badam Milk Powder,0.2,LTR
407,Dessert,Bengali Sweets,Raj Bogh,Inventory,166,Sugar - Acasia,0.15,KG
407,Dessert,Bengali Sweets,Raj Bogh,Inventory,61,Ghee Desi,0.05,KG
407,Dessert,Bengali Sweets,Raj Bogh,Inventory,149,Spices Black Cardamom,0.001,KG
407,Dessert,Bengali Sweets,Raj Bogh,Inventory,13,Badam Milk Powder,0.2,LTR
408,Dessert,Bengali Sweets,Rasmalai,Inventory,166,Sugar - Acasia,0.15,KG
408,Dessert,Bengali Sweets,Rasmalai,Inventory,61,Ghee Desi,0.05,KG
408,Dessert,Bengali Sweets,Rasmalai,Inventory,149,Spices Black Cardamom,0.001,KG
408,Dessert,Bengali Sweets,Rasmalai,Inventory,13,Badam Milk Powder,0.2,LTR
409,Dessert,Bengali Sweets,Sandwiches,Inventory,166,Sugar - Acasia,0.15,KG
409,Dessert,Bengali Sweets,Sandwiches,Inventory,61,Ghee Desi,0.05,KG
409,Dessert,Bengali Sweets,Sandwiches,Inventory,149,Spices Black Cardamom,0.001,KG
409,Dessert,Bengali Sweets,Sandwiches,Inventory,13,Badam Milk Powder,0.2,LTR
410,Dessert,Cakes & Pastries,Black Forest Gateau,Fresh,N/A,Main Ingredient (Generic),0.2,KG
410,Dessert,Cakes & Pastries,Black Forest Gateau,Inventory,127,Salt - Table Salt,0.005,KG
410,Dessert,Cakes & Pastries,Black Forest Gateau,Inventory,89,Oil Refined Sunflower,0.02,LTR
411,Dessert,Fruit Delight,Grapes,Fresh,N/A,Main Ingredient (Generic),0.2,KG
411,Dessert,Fruit Delight,Grapes,Inventory,127,Salt - Table Salt,0.005,KG
411,Dessert,Fruit Delight,Grapes,Inventory,89,Oil Refined Sunflower,0.02,LTR
412,Dessert,Fruit Delight,Mango,Fresh,N/A,Main Ingredient (Generic),0.2,KG
